class_code,group_code,class_name,class_name_eng,description,status
0111,011,การปลูกธัญพืช (ยกเว้น ข้าว) พืชตระกูลถั่วและพืชน้ำมัน,"Growing of cereals (except rice), leguminous crops and oil seeds","หมู่ย่อยนี้รวมถึงการปลูกธัญพืชในทุกรูปแบบ พืชตระกูลถั่วและพืชน้ำมัน รวมทั้งการทำ เกษตรอินทรีย์และการปลูกพืชที่มีการตัดแต่งพันธุกรรม การปลูกพืชต่าง ๆ เหล่านี้รวมอยู่ ในกลุ่มของเกษตรกรรม รวมถึงการปลูกธัญพืช เช่น ข้าวสาลีข้าวโพด ข้าวฟ่าง ข้าวบาร์เลย์ ข้าวไรย์ ข้าวโอ๊ต ลูกเดือยและธัญพืชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น การปลูกพืชตระกูลถั่ว เช่น ถั่วสด ถั่วปากอ้า ชิคพี(chick peas) คาวพี(cow peas) ถั่วเลนทิล (lentils) ถั่วลูพิน (lupins) ถั่วพีเจียน(pigeon peas)และพืชอื่นในประเภท เดียวกัน การปลูกพืชน้ำมัน เช่น ถั่วเหลือง ถั่วลิสง เมล็ดฝ้าย เมล็ดละหุ่ง เมล็ดของ ต้นแฟลกซ์ มัสตาร์ด เมล็ดไนเจอร์ เมล็ดเรพ เมล็ดดอกคำฝอย เมล็ดงา เมล็ดทานตะวัน และเมล็ดพืชอื่น ๆ ที่ให้น้ำมัน 
แต่ไม่รวมถึง - การปลูกข้าวโพดที่ใช้เป็นอาหารสัตว์ดูหมู่ย่อย 0119

",1
0112,011,การปลูกข้าว,Growing of rice,"หมู่ย่อยนี้รวมถึงการปลูกข้าว การปลูกข้าวอินทรีย์และการปลูกข้าวตัดแต่งพันธุกรรม
",1
0113,011,การปลูกพืชผัก แตงและพืชหัว,"Growing of vegetables and melons, roots and tubers","หมู่ย่อยนี้รวมถึงการปลูกพืชผักกินใบและพืชผักกินต้น เช่น ผักกาด ผักคะน้า หน่อไม้ฝรั่ง กะหล่ำปลีดอกกะหล่ำ บรอคโคลีผักสลัด ผักโขม พืชผักกินใบ และพืชผักกินต้นอื่น ๆ การปลูกพืชผักกินผล เช่น การปลูกแตงร้าน แตงกวา และมะเขือยาว มะเขือเทศ แตงโม แคนตาลูป รวมทั้งแตงและพืชผักกินผลชนิดอื่น ๆ การปลูกพืชหัว เช่น แครอท เทอร์นิป กระเทียม หอม หอมหัวใหญ่ หอมแดง รวมทั้งพืชจำพวกรากและจำพวกหัวชนิดอื่น ๆ การเพาะเห็ดและเห็ดทรัฟเฟิล การปลูกพืชที่มีเมล็ด ยกเว้น เมล็ดหัวผักกาด การปลูก ชูการ์บีท การปลูกพืชผักชนิดอื่น ๆ การปลูกพืชจำพวกรากและหัว เช่น มันฝรั่ง มันเทศ มันสำปะหลัง และพืชจำพวกรากและหัวชนิดอื่น ๆ แต่ไม่รวมถึง - การเพาะเชื้อเห็ด ดูหมู่ย่อย 0130 - การปลูกพริกและพริกไทย รวมทั้งเครื่องเทศและเครื่องหอมชนิดอื่น ๆ ดูหมู่ย่อย 0128
",1
0114,011,การปลูกอ้อย,Growing of sugar cane,"การปลูกอ้อยเคี้ยวหรืออ้อยโรงงาน แต่ไม่รวมถึง - การปลูกชูการ์บีท ดูกิจกรรม 01139
",1
0115,011,การปลูกยาสูบ,Growing of tobacco,"การปลูกยาสูบซึ่งมิได้ใช้ในโรงงานอุตสาหกรรม ก้านใบยา ยาเส้นที่ผ่านการบ่มแล้ว
",1
0116,011,การปลูกพืชเส้นใย,Growing of fibre crops,"หมู่ย่อยนี้รวมถึงการปลูกฝ้าย ปอกระเจา ปอแก้ว และพืชอื่น ๆ ที่ให้เส้นใยเพื่อทำสิ่งทอ การปลูกแฟลกส์และการปลูกป่านศรนารายณ์ ป่านมานิลา ป่านรามีและพืชอื่น ๆ ที่ให้ เส้นใยสิ่งทอ
",1
0119,011,การปลูกพืชล้มลุกชนิดอื่น ๆ,Growing of other non-perennial crops,"หมู่ย่อยนี้รวมถึงการปลูกพืชล้มลุกชนิดอื่น ๆ ทุกชนิดซึ่งมิได้จัดประเภทไว้ในที่อื่น เช่น การปลูกสวีด (swedes) หัวแมนโกลด์ (mangolds) (ใช้เลี้ยงสัตว์) พืชหัวสด โคลเวอร์ (clover) อัลฟาฟา (alfalfa) ข้าวโพดและหญ้าชนิดอื่น ๆ ที่ใช้เป็นอาหารสัตว์การปลูก หัวผักกาดที่ให้เมล็ด (ยกเว้น เมล็ดของชูการ์บีท)และเมล็ดของพืชอื่น ๆ ที่ใช้เป็นอาหารสัตว์ การปลูกไม้ดอก การผลิตไม้ตัดดอกและกล้าไม้ดอก รวมทั้งการปลูกไม้ดอกเพื่อเก็บเมล็ด แต่ไม่รวมถึง - การปลูกเมล็ดทานตะวัน ดูหมู่ย่อย 0111 - การปลูกพืชล้มลุกที่เป็นเครื่องเทศ เครื่องหอม ยารักษาโรคและพืชทางเภสัชภัณฑ์ ดูหมู่ย่อย 0128
",1
0121,012,การทำสวนองุ่น,Growing of grapes,"การปลูกองุ่นในสวนเพื่อผลิตไวน์และรับประทานสด แต่ไม่รวมถึง - การผลิตไวน์ดูหมู่ย่อย 1102
",1
0122,012,การปลูกไม้ผลเมืองร้อนและกึ่งร้อน,Growing of tropical and subtropical fruits,"หมู่ย่อยนี้รวมถึงการปลูกไม้ผลเมืองร้อนและกึ่งร้อน เช่น อโวคาโด กล้วย เพลนเทน (plaintains) อินทผาลัม มะเดื่อ มะม่วง มะละกอ สับปะรดและไม้ผลอื่น ๆ ที่เป็นไม้ผล เมืองร้อนและกึ่งร้อน
",1
0123,012,การปลูกไม้ผลตระกูลส้ม,Growing of citrus fruits,"หมู่ย่อยนี้รวมถึงการปลูกไม้ผลตระกูลส้ม เช่น เกรปฟรุทและส้มโอ มะนาวและไลม์ ส้ม ส้มเขียวหวาน ส้มจีนและส้มคลีเมนไทล์รวมทั้งไม้ผลอื่น ๆ ในประเภทส้มและมะนาว
",1
0124,012,การปลูกไม้ผลเมืองหนาว,Growing of pome fruits and stone fruits,"หมู่ย่อยนี้รวมถึงการปลูกไม้ผลเมืองหนาว เช่น แอปเปิล แอปปริคอต เชอรี่และเชอรี่ที่มี รสเปรี้ยว ลูกพีชและเนคทารีน ลูกแพร์ ลูกพลัมและลูกพรุน รวมทั้งไม้ผลอื่น ๆ ในประเภทเดียวกันนี
",1
0125,012,การปลูกไม้ผลยืนต้น ไม้ผลที่มีต้นเป็นพุ่มและไม้ผลที่มีเปลือกแข็ง,Growing of other tree and bush fruits and nuts,"หมู่ย่อยนี้รวมถึงการปลูกไม้ผลที่มีต้นเป็นพุ่มต่าง ๆ เช่น บลูเบอรี่ เคอร์แรนต์กีวีฟรุต ราสเบอรี่ สตรอเบอรี่และอื่น ๆ การปลูกไม้ผลที่มีเมล็ด การปลูกไม้ผลที่มีเปลือกแข็ง ที่กินได้เช่น อัลมอนด์ มะม่วงหิมพานต์ เกาลัด เฮเซลนัท ถั่วพิตาชิโอ วอลนัต ถั่วโลคัส และไม้ผลที่มีเปลือกแข็งชนิดอื่น ๆ แต่ไม่รวมถึง การปลูกมะพร้าว ดูหมู่ย่อย 0126
",1
0126,012,การปลูกไม้ยืนต้นที่ให้น้ำมัน,(Growing of oleaginous fruits,"หมู่ย่อยนี้รวมถึงการปลูกไม้ยืนต้นที่ให้น้ำมัน เช่น มะพร้าว มะกอก ปาล์มน้ำมัน และไม้ยืนต้นอื่น ๆ ที่นำไปสกัดน้ำมันได้ แต่ไม่รวมถึง - การปลูกถั่วเหลือง ถั่วลิสงและพืชน้ำมันอื่น ๆ ดูหมู่ย่อย 0111
",1
0127,012,การปลูกพืชที่นำไปทำเครื่องดื่ม,Growing of beverage crops,"หมู่ย่อยนี้รวมถึงการปลูกพืชที่นำไปทำเครื่องดื่ม เช่น กาแฟ ชา โกโก้และพืชอื่น ๆ ในประเภทเดียวกัน
",1
